"","long","lat","unique_squirrel_id","hectare","shift","date","hectare_squirrel_number","age","primary_fur_color","highlight_fur_color","combination_of_primary_and_highlight_color","color_notes","location","above_ground_sighter_measurement","specific_location","running","chasing","climbing","eating","foraging","other_activities","kuks","quaas","moans","tail_flags","tail_twitches","approaches","indifferent","runs_from","other_interactions","lat_long","zip_codes","community_districts","borough_boundaries","city_council_districts","police_precincts"
"1",-73.9768311751004,40.7667178072558,"2E-AM-1010-03","02E","AM",10102018,3,"Adult","Cinnamon",NA,"Cinnamon+",NA,"Above Ground","4",NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9768311751004 40.76671780725581)",NA,19,4,19,13
"2",-73.9683613516225,40.7725908847499,"11H-AM-1010-03","11H","AM",10102018,3,"Adult","Cinnamon","White","Cinnamon+White",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,"POINT (-73.9683613516225 40.7725908847499)",NA,19,4,19,13
"3",-73.9541201789795,40.7931811701082,"36H-AM-1010-02","36H","AM",10102018,2,"Adult","Gray",NA,"Gray+","just outside hectare","Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9541201789795 40.7931811701082)",NA,19,4,19,13
"4",-73.9722500196844,40.7742879599026,"11D-AM-1010-03","11D","AM",10102018,3,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Above Ground","30",NA,FALSE,FALSE,TRUE,FALSE,FALSE,"grooming",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9722500196844 40.7742879599026)",NA,19,4,19,13
"5",-73.9768603630674,40.7702795904962,"5C-PM-1010-09","05C","PM",10102018,9,"Adult","Cinnamon","Gray","Cinnamon+Gray",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9768603630674 40.7702795904962)",NA,19,4,19,13
"6",-73.9673253417305,40.7749505252981,"13H-PM-1010-02","13H","PM",10102018,2,"Adult","Gray",NA,"Gray+",NA,"Above Ground","5","tree",FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9673253417305 40.7749505252981)",NA,19,4,19,13
"7",-73.9684910712272,40.7768811640021,"15F-PM-1010-05","15F","PM",10102018,5,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9684910712272 40.7768811640021)",NA,19,4,19,13
"8",-73.968052057989,40.777338666528,"15F-PM-1010-06","15F","PM",10102018,6,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.968052057989 40.777338666528)",NA,19,4,19,13
"9",-73.9711318790279,40.7701941550273,"7G-AM-1010-02","07G","AM",10102018,2,"Adult","Gray",NA,"Gray+",NA,"Above Ground","3",NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,"POINT (-73.9711318790279 40.7701941550273)",NA,19,4,19,13
"10",-73.9763243383771,40.7705409315703,"5C-PM-1010-13","05C","PM",10102018,13,"Adult","Gray","White","Gray+White",NA,"Above Ground","20","way up a tree!",FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9763243383771 40.7705409315703)",NA,19,4,19,13
"11",-73.9572093760529,40.7988487300216,"41B-AM-1010-06","41B","AM",10102018,6,"Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",NA,"Above Ground","6",NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9572093760529 40.7988487300216)",NA,19,4,19,13
"12",-73.9607746337979,40.7939581069382,"35B-AM-1010-01","35B","AM",10102018,1,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE","lawn",FALSE,FALSE,FALSE,FALSE,FALSE,"walking w/ something in mouth",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9607746337979 40.793958106938206)",NA,19,4,19,13
"13",-73.9671147090087,40.7772624641112,"16G-AM-1010-03","16G","AM",10102018,3,"Adult","Gray","White","Gray+White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,"was hanging out w/ #2 until i showed up",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9671147090087 40.7772624641112)",NA,19,4,19,13
"14",-73.9588660250232,40.7982597947515,"40A-AM-1010-03","40A","AM",10102018,3,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE","bottom of great hill",FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"dog chased","POINT (-73.9588660250232 40.7982597947515)",NA,19,4,19,13
"15",-73.9768652785664,40.7684838168207,"3D-PM-1010-03","03D","PM",10102018,3,"Adult","Cinnamon","White","Cinnamon+White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.97686527856641 40.7684838168207)",NA,19,4,19,13
"16",-73.95621174551,40.7951044378207,"38E-AM-1010-09","38E","AM",10102018,9,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.95621174551 40.7951044378207)",NA,19,4,19,13
"17",-73.9637946878735,40.7915700446878,"31A-AM-1010-04","31A","AM",10102018,4,"Adult","Gray","White","Gray+White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,"POINT (-73.9637946878735 40.7915700446878)",NA,19,4,19,13
"18",-73.9720065066618,40.7764043782924,"13C-AM-1010-04","13C","AM",10102018,4,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,"POINT (-73.9720065066618 40.7764043782924)",NA,19,4,19,13
"19",-73.9788138172962,40.7693001754769,"3B-AM-1010-09","03B","AM",10102018,9,"Juvenile","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9788138172962 40.7693001754769)",NA,19,4,19,13
"20",-73.9570528770427,40.7990973804149,"41B-AM-1010-07","41B","AM",10102018,7,"Adult","Cinnamon","Gray, White","Cinnamon+Gray, White",NA,"Above Ground","10",NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"mad!","POINT (-73.9570528770427 40.7990973804149)",NA,19,4,19,13
"21",-73.9787105069657,40.7693708133873,"3B-AM-1010-08","03B","AM",10102018,8,"Juvenile","Gray","Cinnamon","Gray+Cinnamon",NA,"Above Ground","10",NA,FALSE,FALSE,TRUE,FALSE,FALSE,"together w/ #7",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9787105069657 40.7693708133873)",NA,19,4,19,13
"22",-73.9638774579549,40.7913532129148,"31A-AM-1010-05","31A","AM",10102018,5,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,TRUE,TRUE,"jumping",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"eventually ran from lawnmower (tail flag)","POINT (-73.9638774579549 40.7913532129148)",NA,19,4,19,13
"23",-73.9677646187171,40.7746492806333,"13H-PM-1010-05","13H","PM",10102018,5,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9677646187171 40.7746492806333)",NA,19,4,19,13
"24",-73.9702755805141,40.7783547795222,"16D-PM-1010-13","16D","PM",10102018,13,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9702755805141 40.7783547795222)",NA,19,4,19,13
"25",-73.967895656898,40.7767409597341,"15F-PM-1010-07","15F","PM",10102018,7,"Adult","Gray",NA,"Gray+",NA,"Above Ground","3","on fence",TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.967895656898 40.7767409597341)",NA,19,4,19,13
"26",-73.9590236602085,40.7982632456866,"40A-AM-1010-04","40A","AM",10102018,4,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE","bottom great hill",FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"dog chased","POINT (-73.9590236602085 40.7982632456866)",NA,19,4,19,13
"27",-73.9589627056561,40.7847591558491,"26I-PM-1010-02","26I","PM",10102018,2,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,"hiding food",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,"POINT (-73.9589627056561 40.7847591558491)",NA,19,4,19,13
"28",-73.976798124308,40.7741316574113,"9A-PM-1010-04","09A","PM",10102018,4,NA,"Cinnamon",NA,"Cinnamon+",NA,"Above Ground","20",NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.97679812430802 40.7741316574113)",NA,19,4,19,13
"29",-73.9787796921165,40.7707526535381,"5A-PM-1010-01","05A","PM",10102018,1,"Adult","Gray","White","Gray+White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,"POINT (-73.9787796921165 40.7707526535381)",NA,19,4,19,13
"30",-73.9619411917909,40.7923536640283,"33B-PM-1010-11","33B","PM",10102018,11,"Adult","Gray",NA,"Gray+",NA,"Above Ground","10",NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9619411917909 40.7923536640283)",NA,19,4,19,13
"31",-73.9529060669193,40.7927909735388,"37I-AM-1010-01","37I","AM",10102018,1,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9529060669193 40.7927909735388)",NA,19,4,19,13
"32",-73.9709281471442,40.7828097939777,"20A-AM-1010-02","20A","AM",10102018,2,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9709281471442 40.7828097939777)",NA,19,4,19,13
"33",-73.9756573579063,40.7656644063024,"1G-PM-1010-01","01G","PM",10102018,1,"Adult","Gray","White","Gray+White",NA,"Above Ground","15",NA,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"too busy eating in his tree","POINT (-73.9756573579063 40.7656644063024)",NA,19,4,19,13
"34",-73.9685604013735,40.7773439909065,"15F-PM-1010-03","15F","PM",10102018,3,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9685604013735 40.7773439909065)",NA,19,4,19,13
"35",-73.9683965841952,40.7718679848978,"10I-AM-1010-03","10I","AM",10102018,3,"Adult","Gray","White","Gray+White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9683965841952 40.7718679848978)",NA,19,4,19,13
"36",-73.9646610347972,40.7790583544252,"19H-AM-1010-05","19H","AM",10102018,5,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE","near a brush",FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9646610347972 40.7790583544252)",NA,19,4,19,13
"37",-73.9545799024508,40.7908084039886,"34I-PM-1010-01","34I","PM",10102018,1,"Adult","Gray",NA,"Gray+",NA,"Above Ground","15",NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9545799024508 40.7908084039886)",NA,19,4,19,13
"38",-73.9639635134738,40.7900337598704,"29B-PM-1010-05","29B","PM",10102018,5,"Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9639635134738 40.7900337598704)",NA,19,4,19,13
"39",-73.9790875480358,40.7676104780657,"2C-AM-1010-03","02C","AM",10102018,3,"Adult","Black","Gray","Black+Gray",NA,"Above Ground","30",NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9790875480358 40.7676104780657)",NA,19,4,19,13
"40",-73.9669206605745,40.7748155701122,"13H-PM-1010-03","13H","PM",10102018,3,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE","in glen",FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9669206605745 40.7748155701122)",NA,19,4,19,13
"41",-73.9721899838568,40.7761519045651,"13C-AM-1010-03","13C","AM",10102018,3,"Adult","Gray",NA,"Gray+",NA,"Above Ground","20",NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9721899838568 40.7761519045651)",NA,19,4,19,13
"42",-73.9639888092327,40.791449395909,"31A-AM-1010-01","31A","AM",10102018,1,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,"POINT (-73.9639888092327 40.791449395909005)",NA,19,4,19,13
"43",-73.9694784056618,40.7787735291442,"16D-PM-1010-01","16D","PM",10102018,1,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9694784056618 40.7787735291442)",NA,19,4,19,13
"44",-73.9676639740486,40.7745369616499,"13H-PM-1010-07","13H","PM",10102018,7,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9676639740486 40.7745369616499)",NA,19,4,19,13
"45",-73.9789952029637,40.7697758333099,"4B-AM-1010-03","04B","AM",10102018,3,"Juvenile","Gray","White","Gray+White",NA,"Above Ground","25",NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9789952029637 40.7697758333099)",NA,19,4,19,13
"46",-73.9768357173861,40.7683813358343,"3D-PM-1010-12","03D","PM",10102018,12,"Adult","Cinnamon","White","Cinnamon+White",NA,"Ground Plane","FALSE",NA,TRUE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9768357173861 40.7683813358343)",NA,19,4,19,13
"47",-73.9749446629706,40.7720659696067,"7D-PM-1010-01","07D","PM",10102018,1,"Adult","Gray","White","Gray+White",NA,"Ground Plane","FALSE","outside fenced hectare",TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9749446629706 40.7720659696067)",NA,19,4,19,13
"48",-73.9773821135611,40.7690453494383,"4C-PM-1010-06","04C","PM",10102018,6,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE","behind playground benches",FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,"POINT (-73.9773821135611 40.7690453494383)",NA,19,4,19,13
"49",-73.9696360756453,40.7786545659072,"16D-PM-1010-03","16D","PM",10102018,3,"Adult","Gray",NA,"Gray+",NA,"Above Ground","18",NA,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9696360756453 40.7786545659072)",NA,19,4,19,13
