"","long","lat","unique_squirrel_id","hectare","shift","date","hectare_squirrel_number","age","primary_fur_color","highlight_fur_color","combination_of_primary_and_highlight_color","color_notes","location","above_ground_sighter_measurement","specific_location","running","chasing","climbing","eating","foraging","other_activities","kuks","quaas","moans","tail_flags","tail_twitches","approaches","indifferent","runs_from","other_interactions","lat_long","zip_codes","community_districts","borough_boundaries","city_council_districts","police_precincts"
"1",-73.9532170504865,40.7919669739962,"36I-PM-1007-01","36I","PM",10072018,1,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9532170504865 40.7919669739962)",NA,19,4,19,13
"2",-73.9671130680114,40.7784859700171,"17F-AM-1007-07","17F","AM",10072018,7,"Adult","Gray","White","Gray+White",NA,"Above Ground","24",NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9671130680114 40.7784859700171)",NA,19,4,19,13
"3",-73.9576530157255,40.7868659490397,"29I-PM-1007-01","29I","PM",10072018,1,NA,"Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9576530157255 40.7868659490397)",NA,19,4,19,13
"4",-73.9662438996681,40.7890381809441,"28A-PM-1007-05","28A","PM",10072018,5,"Adult","Cinnamon",NA,"Cinnamon+",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,"POINT (-73.9662438996681 40.7890381809441)",NA,19,4,19,13
"5",-73.9742073452913,40.7757957380463,"12B-AM-1007-01","12B","AM",10072018,1,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9742073452913 40.7757957380463)",NA,19,4,19,13
"6",-73.9639159298446,40.7891774637988,"29C-AM-1007-06","29C","AM",10072018,6,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9639159298446 40.7891774637988)",NA,19,4,19,13
"7",-73.9579645940414,40.7918613498407,"34F-AM-1007-01","34F","AM",10072018,1,"Adult","Gray","White","Gray+White",NA,"Above Ground","25",NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9579645940414 40.7918613498407)",NA,19,4,19,13
"8",-73.9595933195409,40.7905847332369,"32E-AM-1007-13","32E","AM",10072018,13,"Adult","Gray",NA,"Gray+",NA,"Above Ground","50",NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9595933195409 40.7905847332369)",NA,19,4,19,13
"9",-73.9602222116708,40.793779699421,"35C-AM-1007-05","35C","AM",10072018,5,"Adult","Gray",NA,"Gray+",NA,"Above Ground","4",NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9602222116708 40.793779699421)",NA,19,4,19,13
"10",-73.9675634326877,40.7813477352507,"19D-AM-1007-01","19D","AM",10072018,1,"Juvenile","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fenced off area can't approach","POINT (-73.9675634326877 40.7813477352507)",NA,19,4,19,13
