"","long","lat","unique_squirrel_id","hectare","shift","date","hectare_squirrel_number","age","primary_fur_color","highlight_fur_color","combination_of_primary_and_highlight_color","color_notes","location","above_ground_sighter_measurement","specific_location","running","chasing","climbing","eating","foraging","other_activities","kuks","quaas","moans","tail_flags","tail_twitches","approaches","indifferent","runs_from","other_interactions","lat_long","zip_codes","community_districts","borough_boundaries","city_council_districts","police_precincts"
"1",-73.9602609920814,40.7942883045566,"35C-PM-1013-03","35C","PM",10132018,3,NA,"Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9602609920814 40.79428830455661)",NA,19,4,19,13
"2",-73.9695063535333,40.7823507678183,"20B-PM-1013-05","20B","PM",10132018,5,"Adult","Gray","White","Gray+White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9695063535333 40.7823507678183)",NA,19,4,19,13
"3",-73.9638179439747,40.7924173263904,"32A-PM-1013-03","32A","PM",10132018,3,"Juvenile","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9638179439747 40.7924173263904)",NA,19,4,19,13
"4",-73.9670628558161,40.7734991420941,"12I-AM-1013-01","12I","AM",10132018,1,"Adult","Cinnamon","White","Cinnamon+White",NA,"Ground Plane","FALSE","on tree roots",FALSE,FALSE,FALSE,FALSE,FALSE,"sitting",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,"POINT (-73.9670628558161 40.77349914209411)",NA,19,4,19,13
"5",-73.9671786715256,40.7867352791232,"25A-AM-1013-04","25A","AM",10132018,4,NA,"Gray","White","Gray+White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9671786715256 40.7867352791232)",NA,19,4,19,13
"6",-73.9692943291611,40.7769536102488,"15E-AM-1013-01","15E","AM",10132018,1,"Adult","Gray","White","Gray+White",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9692943291611 40.7769536102488)",NA,19,4,19,13
"7",-73.9540054100539,40.7952445999836,"39G-PM-1013-06","39G","PM",10132018,6,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9540054100539 40.7952445999836)",NA,19,4,19,13
"8",-73.9704402681017,40.7798965621203,"17C-PM-1013-05","17C","PM",10132018,5,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,TRUE,FALSE,"eating (ate upside down on a tree — #jealous)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9704402681017 40.77989656212031)",NA,19,4,19,13
"9",-73.9801666435401,40.7686905339212,"2B-PM-1013-01","02B","PM",10132018,1,"Adult","Gray","White","Gray+White",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,FALSE,"running (with nut)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9801666435401 40.7686905339212)",NA,19,4,19,13
"10",-73.9704082821356,40.7690280985956,"6I-PM-1013-06","06I","PM",10132018,6,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,FALSE,"playing with #5",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,"POINT (-73.9704082821356 40.7690280985956)",NA,19,4,19,13
