"","long","lat","unique_squirrel_id","hectare","shift","date","hectare_squirrel_number","age","primary_fur_color","highlight_fur_color","combination_of_primary_and_highlight_color","color_notes","location","above_ground_sighter_measurement","specific_location","running","chasing","climbing","eating","foraging","other_activities","kuks","quaas","moans","tail_flags","tail_twitches","approaches","indifferent","runs_from","other_interactions","lat_long","zip_codes","community_districts","borough_boundaries","city_council_districts","police_precincts"
"1",-73.9768674812942,40.7735232648872,"8B-PM-1012-02","08B","PM",10122018,2,"Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",NA,"Ground Plane","FALSE","hiding in bushes",FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9768674812942 40.7735232648872)",NA,19,4,19,13
"2",-73.9541453465817,40.7982162223764,"42E-PM-1012-06","42E","PM",10122018,6,"Adult","Cinnamon","Gray, White","Cinnamon+Gray, White",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9541453465817 40.79821622237641)",NA,19,4,19,13
"3",-73.9651601541795,40.7761841788025,"15I-PM-1012-07","15I","PM",10122018,7,"Adult","Cinnamon",NA,"Cinnamon+",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9651601541795 40.7761841788025)",NA,19,4,19,13
"4",-73.9724063986771,40.7705711897977,"7F-PM-1012-01","07F","PM",10122018,1,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9724063986771 40.7705711897977)",NA,19,4,19,13
"5",-73.969058856545,40.7766356226979,"14F-PM-1012-06","14F","PM",10122018,6,"Adult","Cinnamon","Gray, White","Cinnamon+Gray, White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,"POINT (-73.969058856545 40.7766356226979)",NA,19,4,19,13
"6",-73.9646901432328,40.775995869679,"15I-PM-1012-03","15I","PM",10122018,3,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9646901432328 40.775995869679)",NA,19,4,19,13
"7",-73.9564724104048,40.7936055508162,"36F-PM-1012-04","36F","PM",10122018,4,"Adult","Gray","White","Gray+White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9564724104048 40.7936055508162)",NA,19,4,19,13
"8",-73.9665709146738,40.7839384318554,"22D-PM-1012-04","22D","PM",10122018,4,"Adult","Gray","Black, White","Gray+Black, White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9665709146738 40.7839384318554)",NA,19,4,19,13
"9",-73.972416242971,40.7714260236636,"8F-PM-1012-04","08F","PM",10122018,4,"Adult","Gray",NA,"Gray+",NA,"Above Ground","6",NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.972416242971 40.7714260236636)",NA,19,4,19,13
"10",-73.9779805668091,40.7680931566797,"2D-PM-1012-02","02D","PM",10122018,2,"Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"POINT (-73.9779805668091 40.7680931566797)",NA,19,4,19,13
"11",-73.9800669115792,40.7676825134384,"1B-AM-1012-07","01B","AM",10122018,7,"Adult","Cinnamon",NA,"Cinnamon+",NA,"Above Ground","2","on tree trunk",FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9800669115792 40.7676825134384)",NA,19,4,19,13
"12",-73.9754742295091,40.7696998327247,"5E-PM-1012-02","05E","PM",10122018,2,"Adult","Cinnamon","Gray, White","Cinnamon+Gray, White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9754742295091 40.7696998327247)",NA,19,4,19,13
"13",-73.9767191629692,40.7730786298701,"8B-PM-1012-03","08B","PM",10122018,3,"Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9767191629692 40.7730786298701)",NA,19,4,19,13
"14",-73.9691433356733,40.7731708333242,"11G-AM-1012-01","11G","AM",10122018,1,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9691433356733 40.77317083332421)",NA,19,4,19,13
