"","long","lat","unique_squirrel_id","hectare","shift","date","hectare_squirrel_number","age","primary_fur_color","highlight_fur_color","combination_of_primary_and_highlight_color","color_notes","location","above_ground_sighter_measurement","specific_location","running","chasing","climbing","eating","foraging","other_activities","kuks","quaas","moans","tail_flags","tail_twitches","approaches","indifferent","runs_from","other_interactions","lat_long","zip_codes","community_districts","borough_boundaries","city_council_districts","police_precincts"
"1",-73.9757249834141,40.7697032606755,"5D-PM-1018-05","05D","PM",10182018,5,"Juvenile","Gray",NA,"Gray+",NA,"Above Ground","3",NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9757249834141 40.7697032606755)",NA,19,4,19,13
"2",-73.9593126695714,40.797533370163,"39B-AM-1018-01","39B","AM",10182018,1,NA,NA,NA,"+",NA,"Above Ground",NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"unknown",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9593126695714 40.797533370163)",NA,19,4,19,13
"3",-73.9703781726172,40.7787526130321,"16C-PM-1018-03","16C","PM",10182018,3,"Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",NA,"Above Ground","6",NA,TRUE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9703781726172 40.7787526130321)",NA,19,4,19,13
"4",-73.9716147061553,40.7813911036179,"18A-PM-1018-01","18A","PM",10182018,1,"Adult","Gray",NA,"Gray+",NA,"Above Ground","30",NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9716147061553 40.7813911036179)",NA,19,4,19,13
"5",-73.968381325559,40.7780143443779,"16E-PM-1018-06","16E","PM",10182018,6,"Adult","Cinnamon","Gray","Cinnamon+Gray",NA,"Ground Plane","FALSE","On a rock",FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,"POINT (-73.968381325559 40.7780143443779)",NA,19,4,19,13
"6",-73.9688271202401,40.7809719445309,"19C-PM-1018-01","19C","PM",10182018,1,"Adult","Gray","White","Gray+White",NA,"Ground Plane","FALSE",NA,TRUE,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,"POINT (-73.9688271202401 40.7809719445309)",NA,19,4,19,13
"7",-73.9521110154872,40.7978449143313,"42G-AM-1018-03","42G","AM",10182018,3,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,FALSE,"stop to look at me—then ran",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9521110154872 40.7978449143313)",NA,19,4,19,13
"8",-73.9700100617602,40.7815739959357,"19B-PM-1018-01","19B","PM",10182018,1,"Adult","Gray","Black, Cinnamon, White","Gray+Black, Cinnamon, White",NA,"Above Ground","20",NA,TRUE,FALSE,FALSE,FALSE,FALSE,"flying",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9700100617602 40.7815739959357)",NA,19,4,19,13
"9",-73.971905618214,40.776238547063,"13D-PM-1018-10","13D","PM",10182018,10,"Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,"POINT (-73.971905618214 40.776238547063)",NA,19,4,19,13
"10",-73.9592038887673,40.796382675378,"38B-PM-1018-02","38B","PM",10182018,2,"Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,"burying nut",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9592038887673 40.796382675378)",NA,19,4,19,13
"11",-73.9511118711108,40.7950813345902,"40I-AM-1018-01","40I","AM",10182018,1,"Adult","Cinnamon",NA,"Cinnamon+",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,TRUE,"begging",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9511118711108 40.7950813345902)",NA,19,4,19,13
"12",-73.9721442939797,40.7700750802317,"7G-PM-1018-03","07G","PM",10182018,3,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9721442939797 40.7700750802317)",NA,19,4,19,13
"13",-73.9532620128307,40.7952475548048,"39G-AM-1018-01","39G","AM",10182018,1,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,FALSE,"dead (something ran over it)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9532620128307 40.7952475548048)",NA,19,4,19,13
"14",-73.9758676144255,40.7701671581939,"5D-PM-1018-03","05D","PM",10182018,3,"Adult","Gray","White","Gray+White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9758676144255 40.7701671581939)",NA,19,4,19,13
"15",-73.963846339804,40.7834051716226,"23F-AM-1018-01","23F","AM",10182018,1,"Adult","Cinnamon","Gray","Cinnamon+Gray",NA,"Above Ground","30",NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.963846339804 40.7834051716226)",NA,19,4,19,13
"16",-73.9690828325179,40.7818038172275,"19C-PM-1018-04","19C","PM",10182018,4,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9690828325179 40.7818038172275)",NA,19,4,19,13
"17",-73.9691050656013,40.7808139538222,"18C-PM-1018-01","18C","PM",10182018,1,NA,"Black",NA,"Black+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9691050656013 40.7808139538222)",NA,19,4,19,13
"18",-73.9718729101676,40.7703692621371,"7G-PM-1018-05","07G","PM",10182018,5,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9718729101676 40.7703692621371)",NA,19,4,19,13
"19",-73.9712327308512,40.7748702909218,"12E-PM-1018-06","12E","PM",10182018,6,"Juvenile","Cinnamon",NA,"Cinnamon+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,"POINT (-73.9712327308512 40.7748702909218)",NA,19,4,19,13
"20",-73.9534333425633,40.7932564163328,"37H-AM-1018-03","37H","AM",10182018,3,"Adult","Gray","White","Gray+White",NA,"Above Ground","10","in a tree with red berries",FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9534333425633 40.7932564163328)",NA,19,4,19,13
"21",-73.9786481009499,40.7697372811949,"4B-PM-1018-03","04B","PM",10182018,3,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"POINT (-73.9786481009499 40.7697372811949)",NA,19,4,19,13
"22",-73.9596964641652,40.7957753591585,"37B-AM-1018-03","37B","AM",10182018,3,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9596964641652 40.7957753591585)",NA,19,4,19,13
"23",-73.9696001184129,40.7820810673532,"19B-PM-1018-05","19B","PM",10182018,5,"Juvenile","Gray","Cinnamon, White","Gray+Cinnamon, White","Gray, Cinnamon & White selected as Primary. Gray & White selected as Highlights. Made executive adjustments.","Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9696001184129 40.7820810673532)",NA,19,4,19,13
"24",-73.9684376038582,40.7824275067237,"20C-PM-1018-09","20C","PM",10182018,9,"Adult","Cinnamon",NA,"Cinnamon+",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"POINT (-73.9684376038582 40.7824275067237)",NA,19,4,19,13
"25",-73.967832992543,40.7783669913408,"17E-PM-1018-03","17E","PM",10182018,3,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.967832992543 40.7783669913408)",NA,19,4,19,13
"26",-73.9687395228846,40.7807364481385,"18D-AM-1018-02","18D","AM",10182018,2,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9687395228846 40.7807364481385)",NA,19,4,19,13
"27",-73.965509576403,40.7752456763263,"14I-PM-1018-05","14I","PM",10182018,5,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Above Ground","2",NA,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,"POINT (-73.96550957640301 40.7752456763263)",NA,19,4,19,13
"28",-73.9649590119935,40.7822107920769,"21F-AM-1018-01","21F","AM",10182018,1,"Adult","Gray",NA,"Gray+",NA,"Above Ground","15",NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,"POINT (-73.9649590119935 40.7822107920769)",NA,19,4,19,13
"29",-73.9633760173635,40.7818422357619,"22G-PM-1018-03","22G","PM",10182018,3,"Juvenile","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,FALSE,"chilling",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"observed","POINT (-73.96337601736352 40.7818422357619)",NA,19,4,19,13
"30",-73.9502466289084,40.7959228779883,"41I-AM-1018-02","41I","AM",10182018,2,"Juvenile","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"runs off","POINT (-73.9502466289084 40.7959228779883)",NA,19,4,19,13
"31",-73.9720887275538,40.7760799537976,"13D-PM-1018-08","13D","PM",10182018,8,"Adult","Gray","Cinnamon, White","Gray+Cinnamon, White","Gray & Cinnamon selected as Primary. White selected as Highlights. Made executive adjustments.","Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9720887275538 40.7760799537976)",NA,19,4,19,13
"32",-73.9644293195773,40.7813829172072,"21F-AM-1018-02","21F","AM",10182018,2,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,"POINT (-73.9644293195773 40.7813829172072)",NA,19,4,19,13
"33",-73.9579724119943,40.7948709900016,"37D-AM-1018-01","37D","AM",10182018,1,"Juvenile","Gray","White","Gray+White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9579724119943 40.7948709900016)",NA,19,4,19,13
"34",-73.9717201378775,40.776120280884,"13D-PM-1018-02","13D","PM",10182018,2,"Adult","Gray","White","Gray+White",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9717201378775 40.776120280884)",NA,19,4,19,13
"35",-73.9615751148595,40.7954551238146,"36A-AM-1018-01","36A","AM",10182018,1,"Juvenile","Gray","White","Gray+White",NA,"Above Ground","15",NA,FALSE,FALSE,FALSE,TRUE,FALSE,"eating (red berries)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9615751148595 40.7954551238146)",NA,19,4,19,13
"36",-73.9649611089685,40.7814371834837,"21F-AM-1018-05","21F","AM",10182018,5,"Adult","Cinnamon","Gray","Cinnamon+Gray",NA,"Above Ground","2",NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,"POINT (-73.9649611089685 40.7814371834837)",NA,19,4,19,13
"37",-73.9714289592392,40.7750670702093,"12E-PM-1018-04","12E","PM",10182018,4,"Adult","Cinnamon",NA,"Cinnamon+",NA,"Above Ground","10",NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9714289592392 40.7750670702093)",NA,19,4,19,13
"38",-73.9632646049622,40.7817401292083,"22G-AM-1018-05","22G","AM",10182018,5,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9632646049622 40.7817401292083)",NA,19,4,19,13
"39",-73.9635290751183,40.7820936628202,"22G-AM-1018-02","22G","AM",10182018,2,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9635290751183 40.7820936628202)",NA,19,4,19,13
"40",-73.9643825381614,40.7815445841195,"21F-PM-1018-03","21F","PM",10182018,3,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9643825381614 40.7815445841195)",NA,19,4,19,13
"41",-73.9721670042434,40.776085913838,"13D-PM-1018-09","13D","PM",10182018,9,"Adult","Gray","White","Gray+White",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9721670042434 40.776085913838)",NA,19,4,19,13
"42",-73.9786714207307,40.7696870806229,"4B-PM-1018-01","04B","PM",10182018,1,"Adult","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"POINT (-73.9786714207307 40.7696870806229)",NA,19,4,19,13
"43",-73.9712256765283,40.7760942872488,"13D-PM-1018-13","13D","PM",10182018,13,"Adult","Gray","Cinnamon, White","Gray+Cinnamon, White","Gray, Cinnamon & White selected as Primary. White selected as Highlights. Made executive adjustments.","Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,"digging",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9712256765283 40.7760942872488)",NA,19,4,19,13
"44",-73.9698196671161,40.7802972001469,"18C-PM-1018-03","18C","PM",10182018,3,"Juvenile","Gray",NA,"Gray+",NA,"Above Ground","1",NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9698196671161 40.7802972001469)",NA,19,4,19,13
"45",-73.9655905300923,40.7752614638023,"14I-PM-1018-06","14I","PM",10182018,6,"Adult","Cinnamon","Black","Cinnamon+Black",NA,"Above Ground","2",NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,"POINT (-73.9655905300923 40.7752614638023)",NA,19,4,19,13
"46",-73.9763791121438,40.770281512254,"5D-PM-1018-04","05D","PM",10182018,4,"Adult","Gray","White","Gray+White","Partial missing tail","Ground Plane","FALSE",NA,FALSE,TRUE,FALSE,FALSE,FALSE,"chasing (dog chasing)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9763791121438 40.770281512254)",NA,19,4,19,13
"47",-73.9548877830136,40.7950157489103,"38F-AM-1018-04","38F","AM",10182018,4,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.95488778301362 40.7950157489103)",NA,19,4,19,13
"48",-73.9695964983454,40.7802302192799,"18C-PM-1018-08","18C","PM",10182018,8,"Juvenile","Black",NA,"Black+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9695964983454 40.7802302192799)",NA,19,4,19,13
"49",-73.9695569897042,40.7712062147171,"9H-PM-1018-01","09H","PM",10182018,1,"Adult","Gray","White","Gray+White",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.96955698970422 40.7712062147171)",NA,19,4,19,13
"50",-73.9669814346326,40.780390919948,"19E-PM-1018-01","19E","PM",10182018,1,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,"POINT (-73.9669814346326 40.780390919948)",NA,19,4,19,13
"51",-73.9591407691,40.7960846903122,"37B-AM-1018-01","37B","AM",10182018,1,"Adult","Black",NA,"Black+",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,"POINT (-73.9591407691 40.7960846903122)",NA,19,4,19,13
"52",-73.9683479943823,40.7815827298303,"20C-PM-1018-01","20C","PM",10182018,1,"Juvenile","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9683479943823 40.7815827298303)",NA,19,4,19,13
"53",-73.9648626810032,40.7804506112843,"20G-AM-1018-02","20G","AM",10182018,2,"Adult","Gray",NA,"Gray+",NA,"Above Ground","5","Ran up tree",TRUE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9648626810032 40.7804506112843)",NA,19,4,19,13
"54",-73.9654210263521,40.7782529692575,"17G-AM-1018-01","17G","AM",10182018,1,"Juvenile","Gray",NA,"Gray+",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9654210263521 40.77825296925751)",NA,19,4,19,13
